AIRC
KNX
F
CME
MGM
AAN
CNXC
VTRS
PRG
VNT
AOUT
1COV
ADS
AFX
ALV
B4B
BAS
BAYN
BEI
BOSS
BVB
CON
DAI
DB1
DBK
DHER
DPW
DTE
DWNI
EOAN
EVK
EVT
FIE
FME
FRE
GBF
HEI
HEN
HLAG
HOT
IFX
IVX
KU2
LHA
MOR
MRK
MTX
MUV2
PSM
PUM
RHM
RWE
SHL
SIE
SZU
TKA
TLX
UN01
UTDI
VAR1
VNA
VOW
WW
ABM
SSTI
FSS
BANF
OGE
CLDR
BBIO
BGS
COLD
ABCB
OXM
LMNX
APPS
EGBN
SFBS
KAMN
BCC
CBT
APRE
STAG
CYRX
LMAT
CUE
CAC
UFCS
NPO
SPXC
HSII
CNA
ELS
CBZ
EAT
ACA
INVH
CONE
TBK
PING
COR
MDC
ALLY
TTEC
AZZ
CCS
AVTR
CNX
IBTX
ASTE
AGX
JBL
WSFS
SLP
UEIC
SCVL
AIMC
KFRC
BLMN
STOK
QTRX
HE
OHI
DRNA
GNTX
SWM
VSAT
CYTK
ASMB
TCDA
NGM
AKRO
ALEC
FIX
POWL
SCI
PRO
STC
ABTX
DRE
AXNX
NARI
CMC
TRMK
FNF
UGI
REYN
CNNE
NKLA
AVT
ATI
AEO
RCII
UVV
HCAT
EIDX
VIR
TWST
MDLA
TRNO
SANM
MODN
SITM
HLIO
ADPT
HMST
WAFD
KLIC
HMN
EFSC
ENR
SWTX
SLGN
SILK
APLS
LKFN
CC
ATSG
AXTA
NAT
INMD
CGEN
SPOT
CLB
CCC
JHG
AMCR
B
WTRG
BRKS
TCBK
BOOM
UBSI
GOLF
OTTR
SJI
CSTL
STBA
GTY
HAYN
IBOC
SPCE
SHOO
SMP
PEBO
CPSI
MRTN
FRME
PAR
PHAT
TTGT
NBTB
SASR
IIPR
EGP
SRCE
FBNC
COFS
AVA
COLB
SBSI
BANR
WBS
BJ
IAA
ARQT
LTC
EBIX
CRY
CTS
CMD
BKU
ACIW
CVI
FLO
GLPI
FFIN
PNM
NSSC
MDU
PAG
TRS
MLI
FOLD
PETS
HTLF
WMS
LSCC
GO
FBC
RCUS
ACLS
CORE
HASI
MGPI
HI
KBH
CATY
TPB
IRDM
INT
PLOW
LZB
LPX
FBK
LORL
SCHL
ARCC
KKR
SNEX
CIT
NFG
BRX
YMAB
RLMD
ITCI
COKE
MLAB
STMP
MOH
KWR
KNSL
JJSF
SCL
ALG
ICPT
IDA
LNN
VRTS
LCII
KAI
NPK
BILL
KRTX
ESE
OGS
CCOI
VAC
SWX
IOSP
SR
USPH
CNMD
JBT
EXPO
INDB
MSEX
CNS
ENPH
KRYS
SDGR
IGMS
AMSF
CHCO
ICFI
CDLX
GATX
CCXI
EVRG
NWE
SJW
WABC
ARVN
KOD
ATNI
TPTX
ALE
PSMT
TNC
DCPH
PIPR
AIT
ATEX
CNST
VIE
NCBS
MGRC
APLT
VEC
AAON
PTCT
ATRC
FELE
UTL
